Population,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk
"French Guiana","13","[6.2-27.4]","4.4","4.5","0.53",
"Guam","12","[6.8-21.3]","7.1","6.1","0.67",
"Belize","11","[10.6-11.4]","2.8","3.3","0.33",
"Congo, Republic of","10","[2.4-40.9]","0.18","0.38","0.08",
"Saint Lucia","10","[9.6-10.4]","5.4","4.6","0.41",
"Botswana","10","[4.2-24.1]","0.43","0.54","0.09",
"Lesotho","8","[2.8-23.2]","0.37","0.52","0.08",
"Bhutan","8","[6.4-10.0]","1.0","1.2","0.18",
"Guinea-Bissau","8","[1.5-43.0]","0.41","0.74","0.08",
"The Republic of the Gambia","6","[1.1-33.1]","0.25","0.49","0.06",
"Guyana","6","[1.6-23.0]","0.76","0.77","0.16",
"Eswatini","5","[2.2-11.2]","0.43","0.75","0.12",
"Comoros","4","[1.3-12.2]","0.46","0.76","0.08",
"Equatorial Guinea","4","[1.0-16.8]","0.29","0.34","0.03",
