Population,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk
"Qatar","3","[0.50-17.3]","0.10","0.23","0.05",
"Bahamas","3","[2.5-3.6]","0.76","0.55","0.20",
"Eswatini","3","[1.2-7.3]","0.26","0.46","0.10",
"Bahrain","2","[0.40-10.3]","0.12","0.18","0.02",
"Samoa","2","[0.70-5.9]","1.0","1.2","0.14",
"Brunei Darussalam","2","[0.60-6.7]","0.46","0.56","0.19",
"Vanuatu","2","[0.30-12.7]","0.65","0.88","0.10",
"Solomon Islands","2","[1.1-3.7]","0.29","0.44","0.05",
"Comoros","1","[0.20-4.0]","0.11","0.23","0.03",
"Saint Lucia","1","[0.90-1.1]","0.54","0.40","0.04",
"Equatorial Guinea","1","[0.40-2.6]","0.07","0.16","0.02",
