Population,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk
"Eritrea","111","[61.5-200.2]","6.2","11.3","3.98",
"Qatar","104","[50.2-215.5]","4.8","21.1","9.15",
"Eswatini","93","[74.3-116.5]","16.3","41.6","18.56",
"Guinea-Bissau","93","[12.8-675.3]","9.7","32.3","14.19",
"Lao People's Democratic Republic","89","[45.4-174.5]","2.4","4.3","1.79",
"Equatorial Guinea","87","[44.1-171.5]","11.1","35.2","11.69",
"Tajikistan","80","[53.3-120.0]","1.7","3.2","0.96",
"Belize","75","[46.2-121.7]","37.9","49.1","14.31",
"Solomon Islands","71","[54.6-92.3]","20.3","37.8","11.95",
"Cabo Verde","70","[47.9-102.3]","25.1","45.5","18.70",
"Comoros","65","[36.0-117.2]","14.8","34.1","11.19",
"Bahrain","51","[33.0-78.8]","4.6","13.3","6.31",
"Guam","49","[34.4-69.7]","57.6","43.8","15.43",
"The Republic of the Gambia","44","[22.4-86.4]","3.7","9.8","3.57",
"Brunei Darussalam","40","[24.8-64.6]","17.6","23.0","9.47",
"Djibouti","37","[20.5-66.7]","7.1","11.1","3.97",
"Mongolia","36","[23.0-56.3]","2.2","3.9","1.78",
"Samoa","31","[23.3-41.2]","30.2","46.6","15.62",
"Timor-Leste","30","[15.3-58.8]","4.5","7.5","2.82",
"Sao Tome and Principe","22","[21.3-22.8]","20.1","51.3","18.41",
"Vanuatu","22","[1.6-301.5]","14.1","27.6","14.66",
"Maldives","17","[10.9-26.5]","5.0","11.0","4.19",
"Bhutan","3","[2.4-3.8]","0.73","0.90","0.21",
